Open,High,Low,Close,Adj Close,Volume,Days_Since_Start
0.00917,0.009438,0.009065,0.009433,0.009433,3543941,1881
0.009434,0.009799,0.008934,0.009268,0.009268,4441595,1882
0.009268,0.009546,0.009234,0.00947,0.00947,2886428,1883
0.00947,0.009484,0.009303,0.009391,0.009391,2288276,1884
0.009392,0.009609,0.009351,0.009577,0.009577,1805220,1885
0.009573,0.009573,0.009248,0.009305,0.009305,2230247,1886
0.009304,0.009304,0.008977,0.009039,0.009039,2089936,1887
0.009039,0.009183,0.008983,0.009156,0.009156,1431786,1888
0.009156,0.009224,0.008899,0.009185,0.009185,2313067,1889
0.009186,0.009197,0.008933,0.008967,0.008967,2423902,1890
0.00897,0.009163,0.008961,0.009117,0.009117,1984209,1891
0.009117,0.009173,0.008694,0.008761,0.008761,2041272,1892
0.008762,0.008826,0.008696,0.008704,0.008704,1788844,1893
0.0087,0.00874,0.007895,0.008032,0.008032,4022616,1894
0.008032,0.008074,0.007928,0.007949,0.007949,1939899,1895
0.007946,0.008138,0.007714,0.008022,0.008022,2593214,1896
0.008023,0.008025,0.007545,0.007602,0.007602,2153488,1897
0.007601,0.007829,0.007421,0.007825,0.007825,2096030,1898
0.007825,0.007865,0.007534,0.007558,0.007558,1463604,1899
0.007559,0.007749,0.007529,0.007639,0.007639,999536,1900
0.007639,0.007943,0.007539,0.00786,0.00786,1574673,1901
0.007859,0.007994,0.007769,0.007902,0.007902,1660948,1902
0.007904,0.008104,0.007731,0.008047,0.008047,1613052,1903
0.008048,0.008064,0.007774,0.007968,0.007968,1251998,1904
0.007968,0.008105,0.007855,0.008073,0.008073,1611269,1905
0.008073,0.008214,0.008014,0.008097,0.008097,3429209,1906
0.008098,0.008098,0.007815,0.007865,0.007865,1823719,1907
0.007864,0.007923,0.007705,0.00789,0.00789,2011792,1908
0.007889,0.008057,0.007834,0.00787,0.00787,1573110,1909
0.007871,0.007874,0.007521,0.007696,0.007696,1732648,1910
0.007695,0.007803,0.007557,0.007786,0.007786,1680849,1911
0.007786,0.007806,0.00768,0.007734,0.007734,1478798,1912
0.007734,0.007803,0.007708,0.007758,0.007758,1156808,1913
0.007758,0.008062,0.007732,0.007972,0.007972,1630849,1914
0.007966,0.007989,0.007814,0.007844,0.007844,1714479,1915
0.007844,0.007948,0.007809,0.007812,0.007812,1421358,1916
0.007813,0.007853,0.007523,0.007612,0.007612,1663439,1917
0.007609,0.007671,0.007527,0.007641,0.007641,1457341,1918
0.007641,0.008082,0.007587,0.008038,0.008038,3230310,1919
0.008038,0.008118,0.007967,0.008071,0.008071,1526157,1920
0.008071,0.008208,0.008022,0.008026,0.008026,3483152,1921
0.008034,0.008035,0.007235,0.007354,0.007354,4121654,1922
0.007355,0.007746,0.007256,0.007682,0.007682,2116772,1923
0.007682,0.007708,0.007211,0.007262,0.007262,2516922,1924
0.007262,0.007353,0.007158,0.007254,0.007254,1525929,1925
